"题号","题干","A","B","C","D","E","答案","难度","题型"
"555","以下关于马克思主义中国化时代化的论述，说法正确的是（    ）。","马克思主义中国化时代化就是要形成为人民所喜爱、所认同、所拥有的理论，使之成为指导人民认识世界和改造世界的强大思想武器","马克思主义中国化时代化就是要勇于进行理论探索和创新，以新的理论指导新的实践，以更加积极的历史担当和创造精神为发展马克思主义作出新的贡献，不断开辟马克思主义新境界","马克思主义中国化时代化是中国先进知识分子主观的选择","马克思主义中国化时代化就是要增强问题意识，坚持运用辩证唯物主义和历史唯物主义，从理论和实践的结合上深入回答关系党和国家事业发展、党治国理政的重大时代课题，不断提出真正解决问题的新理念新思路新办法","","ABD","无","多选题"
"556","在改革开放和社会主义现代化建设新时期，中国共产党从新的实践和时代特征出发坚持和发展马克思主义，科学回答了建设中国特色社会主义的（    ）、发展战略、政治保证、祖国统一、外交和国际战略、领导力量和依靠力量等一系列基本问题，形成中国特色社会主义理论体系。","发展道路","发展阶段","根本任务","发展动力","","ABCD","无","多选题"
"557","党的二十大报告指出，实践没有止境，理论创新也没有止境。不断谱写马克思主义中国化时代化新篇章，是当代中国共产党人的庄严历史责任。继续推进实践基础上的理论创新，首先要把握好习近平新时代中国特色社会主义思想的世界观和方法论，坚持好、运用好贯穿其中的立场观点方法。必须（    ）。","坚持人民至上，坚持自信自立","坚持守正创新，坚持问题导向","坚持系统观念，坚持胸怀天下","坚持不忘初心，坚持自我革命","","ABC","无","多选题"
"558","在习近平新时代中国特色社会主义思想的指导下，中国共产党团结带领中国人民，自信自强、守正创新，创造了新时代中国特色社会主义的伟大成就，包括（    ）。","全面建成小康社会目标如期实现","党和国家事业取得历史性成就、发生历史性变革","我国迈上全面建设社会主义现代化国家新征程","实现了从生产力相对落后的状况到经济总量跃居世界第二的历史性突破","","ABC","无","多选题"
"559","在改革开放和社会主义现代化建设新时期，中国共产党高举中国特色社会主义伟大旗帜，团结带领中国人民，解放思想、锐意进取，创造了改革开放和社会主义现代化建设的伟大成就，包括（    ）。","实现了人民生活从温饱不足到总体小康、奔向全面小康的历史性跨越","党和国家事业取得历史性成就、发生历史性变革","推进中华民族从站起来到富起来的伟大飞跃","为实现中华民族伟大复兴提供了更为完善的制度保证、更为坚实的物质基础、更为主动的精神力量","","AC","无","多选题"
"560","以下关于毛泽东思想和中国特色社会主义理论体系关系的论述，说法正确的是（    ）。","毛泽东思想所蕴含的马克思主义的立场、观点和方法，为中国特色社会主义理论体系提供了基本遵循","毛泽东思想和中国特色社会主义理论体系一脉相承又与时俱进","毛泽东思想进一步完善了中国特色社会主义理论体系","中国特色社会主义理论体系在新的历史条件下进一步丰富和发展了毛泽东思想","","ABD","无","多选题"
"561","毛泽东思想和中国特色社会主义理论体系都（    ）。","是马克思列宁主义在中国的运用和发展","实现了马克思主义中国化时代化新的飞跃","是党和国家必须长期坚持的指导思想","是全国各族人民团结奋斗的共同思想基础","","ACD","无","多选题"
"562","关于中国特色社会主义理论体系在新的历史条件下进一步丰富和发展了毛泽东思想，以下说法正确的是（    ）。","提出全面从严治党，推进党的建设新的伟大工程，以党的自我革命引领社会革命，丰富发展了毛泽东思想关于党的建设理论","提出走自己的路、建设中国特色社会主义，丰富发展了毛泽东思想关于社会主义""四个现代化""理论","提出中国正处于并将长期处于社会主义初级阶段，丰富发展了毛泽东思想关于中国社会主义发展阶段理论","提出中国式现代化，建设富强民主文明和谐美丽的社会主义现代化国家，丰富发展了毛泽东思想关于社会主义建设道路理论","","AC","无","多选题"
"563","中国共产党的历史，是一部（    ）。","不断推进马克思主义中国化时代化的历史","不断推进理论创新的历史","不断进行理论创造的历史","将马克思主义作为至理名言直接运用于中国的革命、建设和改革进程中的历史","","ABC","无","多选题"
"564","习近平总书记在党的二十大报告中，强调推进马克思主义中国化时代化是一个（    ）的过程。","发现真理","追求真理","揭示真理","笃行真理","","BCD","无","多选题"
"565","关于坚持马克思主义，以下说法正确的是（    ）。","坚持马克思主义，一定要有发展的观点","坚持马克思主义，一定要以基本原理为中心","坚持马克思主义，要着眼于对实际问题的理论思考","坚持马克思主义，要着眼于新的实践和新的发展","","ACD","无","多选题"
"566","我们必须坚持解放思想、实事求是、与时俱进、求真务实，一切从实际出发，着眼解决新时代改革开放和社会主义现代化建设的实际问题，不断回答（    ），作出符合中国实际和时代要求的正确回答，得出符合客观规律的科学认识，形成与时俱进的理论成果，更好指导中国实践。","世界之问","中国之问","时代之问","人民之问","","ABCD","无","多选题"
"567","新民主主义革命时期，党建立、巩固和发展统一战线的实践经验主要有（　）。","采取区别对待的方针","正确对待资产阶级，尤其是民族资产阶级","坚持独立自主的原则","建立巩固的工农联盟","","ABCD","无","多选题"
"568","邓小平指出：""我想有一点最重要，就是任何大党、中党、小党，都要相互尊重对方的选择和经验，对别的党、别的国家的事情不应该随便指手划脚。""因此，我国坚持以（ ）原则处理同各国共产党和其他政党的关系。","独立自主","完全平等","互相尊重","互不干涉内部事务","","ABCD","无","多选题"
"569","党的基层组织是党的全部工作和战斗力的基础。（ ）是组织建设的重要问题。","坚持和健全民主集中制","加强和改进党的基层组织建设","培养和选拔德才兼备的领导干部","纵深推进党风廉政建设","","ABC","无","多选题"
"570","1982年1月，邓小平在中共中央政治局扩大会议上讲话时提出干部队伍""（ ）""的方针，反复强调要选拔党性好、作风好、团结好，全心全意为人民服务的接班人。","革命化","年轻化","知识化","专业化","","ABCD","无","多选题"
"571","坚持反腐败斗争，是密切党同人民联系的重大问题。要充分认识这个斗争的（ ），把反腐败斗争摆在党风建设的突出位置。","紧迫性","长期性","艰巨性","反复性","","ABC","无","多选题"
